,ref,doi,pub_link,doi_short,meta,indigenous,local,knowledge
16,"Alkire, S. and M.E. Santos, 2010: Acute Multidimensional Poverty: A New Index for Developing Countries. UNDP Human Development Research Paper 2010/11, United Nations Development Programme (UNDP), New York, NY, USA, 138 pp. Alston, M. and K. Whittenbury, 2013: Research, Action and Policy: Addressing the Gendered Impacts of Climate Change. Springer Science, Dordrecht, Netherlands,",,,,,,,
17,"Alkire, S., 2005: Valuing Freedoms: Sen's Capability Approach and Poverty Reduction.",,,,,,,
18,"Alston, M., 2011: Gender and climate change in Australia. Journal of Sociology,",https://doi.org/10.1007/978-94-007-5518-5_13,https://link.springer.com/chapter/10.1007/978-94-007-5518-5_13,10.1007/978-94-007-5518-5_13,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
19,"Anastario, M., N. Shebab, and L. Lawry, 2009: Increased gender-based violence among women internally displaced in Mississippi 2 years post-Hurricane Katrina. Disaster Medicine and Public Health Preparedness, 3(1), 18-26.",https://doi.org/10.1097/DMP.0b013e3181979c32,https://www.cambridge.org/core/journals/disaster-medicine-and-public-health-preparedness/article/increased-genderbased-violence-among-women-internally-displaced-in-mississippi-2-years-posthurricane-katrina/D576CBEB73639E69823A1391B5BF160B,10.1097/DMP.0b013e3181979c32,Publisher link,,,
20,"Andersen, L. and D. Verner, 2009: Social Impacts of Climate Change in Bolivia: A Municipal Level Analysis of the Effects of Recent Climate Change on Life Expectancy, Consumption, Poverty and Inequality. Policy Research Working Paper 5092, the Social Development Division, Sustainable Development Department, the International Bank for Reconstruction and Development / The World Bank, Washington, DC, USA, 26 pp.",https://doi.org/10.1596/1813-9450-5092,https://elibrary.worldbank.org/doi/abs/10.1596/1813-9450-5092,10.1596/1813-9450-5092,Publisher link,,,
21,"Anderson, D., 2009: Enduring drought then coping with climate change: lived experience and local resolve in rural mental health. Rural Society, 19(4), 340-352.",https://doi.org/10.5172/rsj.351.19.4.340,https://www.tandfonline.com/doi/abs/10.5172/rsj.351.19.4.340,10.5172/rsj.351.19.4.340,Publisher link; Analyzed abstract; Exported the abstract,0,1,0
22,"Anderson, D.M. and V. Broch-Due, 2000: The Poor Are Not Us: Poverty and Pastoralism in Eastern Africa. James Currey, Ltd., Woodbridge, UK, 276 pp.",,,,,,,
23,"Anderson, S., J. Morton, and C. Toulmin, 2009: Climate change for agrarian societies in drylands: implications and future pathways. In: Social Dimensions of Climate Change: Equity and Vulnerability in a Warming World [Mearns, R. and A. Morton (eds.)]. The International Bank for Reconstruction and Development / The World Bank, Washington, DC, USA, pp. 199-230.",,,,,,,
24,"Andersson, E. and S. Gabrielsson, 2012:'Because of poverty, we had to come together': collective action for improved food security in rural Kenya and Uganda. International Journal of Agricultural Sustainability, 10(3), 245-262.",https://doi.org/10.1080/14735903.2012.666029,https://www.tandfonline.com/doi/full/10.1080/14735903.2012.666029,10.1080/14735903.2012.666029,Publisher link,,,
25,"Angelsen, A., M. Brockhaus, and M. Kanninen (eds.), 2009: Realizing REDD+: National Strategy and Policy Options. Center for International Forestry Research (CIFOR), Copenhagen, Denmark, 426 pp.",,,,,,,
26,"Anseeuw, W., L.A. Wily, L. Cotula, and M. Taylor, 2012: Land Rights and the Rush for Land: Findings of the Global Commercial Pressures on Land Research Project. International Land Coalition Secretariat, Rome, Italy, 72 pp.",,,,,,,
27,"Antle, J.M. and J.J. Stoorvogel, 2009: Payments for ecosystem services, poverty and sustainability: the case of agricultural soil carbon sequestration. Natural Resource Management and Policy, 31, 133-161.",https://doi.org/10.1007/978-0-387-72971-8_7,https://link.springer.com/chapter/10.1007/978-0-387-72971-8_7,10.1007/978-0-387-72971-8_7,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
28,"Apata, T.G., K. Samuel, and A. Adeola, 2009: Analysis of Climate Change Perception and Adaptation among Arable Food Crop Farmers in South Western Nigeria. Contributed paper prepared for presentation at the International Association of Agricultural Economists' 2009 Conference, Beijing, China, August 16-22, 2009,",,,,,,,
29,"Armah, F.A., J.O. Odoi, G.T. Yengoh, S. Obiri, D.O. Yawson, and E.K.A. Afrifa, 2011: Food security and climate change in drought-sensitive savanna zones of Ghana. Mitigation and Adaptation Strategies for Global Change, 16(3), 291-306.",https://doi.org/10.1007/s11027-010-9263-9,https://link.springer.com/article/10.1007/s11027-010-9263-9,10.1007/s11027-010-9263-9,Publisher link,,,
30,"Arnall, A., K. Oswald, M. Davies, T. Mitchell, and C. Coirolo, 2010: Adaptive Social Protection: Mapping the Evidence and Policy Context in the Agriculture Sector in South Asia. IDS Working Paper No. 345, Centre for Social Protection, Institute of Development Studies (IDS), University of Sussex, Brighton, UK, 92 pp.",https://doi.org/10.1111/j.2040-0209.2010.00345_2.x,https://onlinelibrary.wiley.com/doi/10.1111/j.2040-0209.2010.00345_2.x,10.1111/j.2040-0209.2010.00345_2.x,Publisher link,,,
31,"Arndt, C., R. Benfica, and J. Thurlow, 2011: Gender implications of biofuels expansion in Africa: the case of Mozambique. World Development, 39(9), 1649-1662.",https://doi.org/10.1016/j.worlddev.2011.02.012,https://linkinghub.elsevier.com/retrieve/pii/S0305750X11000313,10.1016/j.worlddev.2011.02.012,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
32,"Arndt, C., R. Benfica, F. Tarp, J. Thurlow, and R. Uaiene, 2009: Biofuels, poverty, and growth: a computable general equilibrium analysis of Mozambique. Environment and Development Economics, 15(1), 81-105.",https://doi.org/10.1017/S1355770X09990027,https://www.cambridge.org/core/journals/environment-and-development-economics/article/biofuels-poverty-and-growth-a-computable-general-equilibrium-analysis-of-mozambique/0244BB5CDBF896BDC3EA88590C88F1A8,10.1017/S1355770X09990027,Publisher link; Couldn't analyze abstract,,,
33,"Arora-Jonsson, S., 2011: Virtue and vulnerability: discourses on women, gender and climate change. Global Environmental Change, 21(2), 744-751.",https://doi.org/10.1016/j.gloenvcha.2011.01.005,https://linkinghub.elsevier.com/retrieve/pii/S0959378011000069,10.1016/j.gloenvcha.2011.01.005,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
34,"Aryal, K.R., 2012: The history of disaster incidents and impacts in Nepal 1900-2005.",https://doi.org/10.1007/s13753-012-0015-1,https://link.springer.com/article/10.1007/s13753-012-0015-1,10.1007/s13753-012-0015-1,Publisher link,,,
35,"Assuncao, J.J. and F.F. Cheres, 2008: Climate Change, Agricultural Productivity and Poverty. Background Paper for De La Torre, A., P. Fajnzylber, and J. Nash (2009), Low Carbon, High Growth - Latin American Responses to Climate Change: An Overview. The International Bank for Reconstruction and Development / The World Bank, Washington, DC, USA, 36 pp.",,,,,,,
36,"Ayers, J. and D. Dodman, 2010: Climate change adaptation and development I: the state of the debate. Progress in Development Studies, 10(2), 161-168.",https://doi.org/10.1177/146499340901000205,https://journals.sagepub.com/doi/10.1177/146499340901000205,10.1177/146499340901000205,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
37,"Ayers, J. and S. Huq, 2009: Community-Based Adaptation to Climate Change: An Update. IIED Briefing, International Institute for Environment and Development (IIED), London, UK, 4 pp.",,,,,,,
38,"Azhar-Hewitt, F. and K. Hewitt, 2012: Technocratic approaches and community contexts: viewpoints of those most at risk from environmental disasters in mountain areas, Northern Pakistan. In: Climate Change Modeling for Local Adaptation in the Hindu Kush-Himalayan Region [Lamadrid, A. and I. Kelman (eds.)]. Emerald Group Publishing, Ltd., Bingley, UK, pp. 53-73.",https://doi.org/10.1108/S2040-7262(2012)0000011010,https://www.emerald.com/insight/content/doi/10.1108/S2040-7262(2012)0000011010/full/html,10.1108/S2040-7262(2012)0000011010,Publisher link,,,
39,"Aziz, 2011: Exploring the feasibility of private micro flood insurance provision in Bangladesh. Disasters, 35(2), 287-307.",https://doi.org/10.1111/j.1467-7717.2010.01218.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7717.2010.01218.x,10.1111/j.1467-7717.2010.01218.x,Publisher link,,,
40,"B. Cashore, J. Clapp, and C. Folke, 2012: Navigating the Anthropocene: improving earth system governance. Science, 335(6074), 1306-1307.",https://doi.org/10.1126/science.1217255,https://www.science.org/doi/10.1126/science.1217255,10.1126/science.1217255,Publisher link; Couldn't analyze abstract,,,
41,"B. Smit, and K. Takahashi, 2007: Chapter 17: Assessment of adaptation practices, options, constraints and capacity. In: Climate Change 2007: Synthesis Report.",,,,,,,
42,"Babugura, A., 2010: Gender and Climate Change: South Africa Case Study. Heinrich Böll Foundation, Regional Office Southern Africa, Cape Town, South Africa, 76 pp.",,,,,,,
43,"Baccini, M., A. Biggeri, G. Accetta, T. Kosatsky, K. Katsouyanni, A. Analitis, H.R. Anderson, L. Bisanti, D. D'Ippoliti, and J. Danova, 2008: Heat effects on mortality in 15 European cities. Epidemiology, 19(5), 711-719.",https://doi.org/10.1097/EDE.0b013e318176bfcd,https://journals.lww.com/epidem/Fulltext/2008/09000/Heat_Effects_on_Mortality_in_15_European_Cities.13.aspx,10.1097/EDE.0b013e318176bfcd,Publisher link; Couldn't analyze abstract,,,
44,"Baffes, J. and T. Haniotis, 2010: Placing the 2006/08 Commodity Price Boom into Perspective. Policy Research Working Paper 5371, Development Prospects Group, The International Bank for Reconstruction and Development / The World Bank, Washington, DC, USA, 40 pp.",https://doi.org/10.1596/1813-9450-5371,https://elibrary.worldbank.org/doi/abs/10.1596/1813-9450-5371,10.1596/1813-9450-5371,Publisher link; Couldn't analyze abstract,,,
45,"Balbus, J.M. and C. Malina, 2009: Identifying vulnerable subpopulations for climate change health effects in the United States. Journal of Occupational and Environmental Medicine, 51(1), 33-37.",https://doi.org/10.1097/JOM.0b013e318193e12e,https://journals.lww.com/joem/Abstract/2009/01000/Identifying_Vulnerable_Subpopulations_for_Climate.6.aspx,10.1097/JOM.0b013e318193e12e,Publisher link; Couldn't analyze abstract,,,
46,"Balk, D., M. Montgomery, G. McGranahan, and M. Todd, 2009: Understanding the impacts of climate change: linking satellite and other spatial data with population data. In: Population Dynamics and Climate Change [Guzmán, J.M.,",,,,,,,
47,"Bandiera, O., I. Barankay, and I. Rasul, 2005: Cooperation in collective action.",https://doi.org/10.1111/j.1468-0351.2005.00228.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-0351.2005.00228.x,10.1111/j.1468-0351.2005.00228.x,Publisher link,,,
48,"Banik, D., 2009: Legal empowerment as a conceptual and operational tool in poverty eradication. Hague Journal on the Rule of Law, 1(1), 117-131.",https://doi.org/10.1017/S1876404509001171,https://www.cambridge.org/core/journals/hague-journal-on-the-rule-of-law/article/legal-empowerment-as-a-conceptual-and-operational-tool-in-poverty-eradication/05C6B88915997F4B355E9135EDB125D3,10.1017/S1876404509001171,Publisher link; Couldn't analyze abstract,,,
49,"Barnes, D., S. Khandker, and H.A. Samad, 2010: Energy Access, Efficiency, and Poverty: How Many Households are Energy Poor in Bangladesh? Policy Research Paper 5332, Agriculture and Rural Development Team, Development Research Group, The International Bank for Reconstruction and Development / The World Bank, Washington. DC, USA, 48 pp.",,,,,,,
50,"Barnett, B.J., C.B. Barrett, and J.R. Skees, 2008: Poverty traps and index-based risk transfer products. World Development, 36(10), 1766-1785.",https://doi.org/10.1016/j.worlddev.2007.10.016,https://linkinghub.elsevier.com/retrieve/pii/S0305750X08001356,10.1016/j.worlddev.2007.10.016,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
51,"Barnett, J. and S. O'Neill, 2010: Maladaptation. Global Environmental Change, 20(2), 211-213.",https://doi.org/10.1016/j.gloenvcha.2009.11.004,https://linkinghub.elsevier.com/retrieve/pii/S0959378009000995,10.1016/j.gloenvcha.2009.11.004,Publisher link; Couldn't analyze abstract,,,
52,"Barrett, C. and J. McPeak, 2006: Poverty traps and safety nets. In: Poverty, Inequality and Development [Thorbecke, E., A. De Janvry, and S.M. Ravi Kanbur (eds.)]. Springer, New York, NY, USA, pp. 131-154.",https://doi.org/10.1007/0-387-29748-0_8,https://link.springer.com/chapter/10.1007/0-387-29748-0_8,10.1007/0-387-29748-0_8,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
53,"Barrientos, A. and D. Hulme, 2009: Social protection for the poor and poorest in developing countries: reflections on a quiet revolution. Oxford Development Studies, 37(4), 439-456.",https://doi.org/10.1080/13600810903305257,https://www.tandfonline.com/doi/full/10.1080/13600810903305257,10.1080/13600810903305257,Publisher link,,,
54,"Barrientos, A., 2011: Social protection and poverty. International Journal of Social Welfare, 20(3), 240-249.",https://doi.org/10.1111/j.1468-2397.2011.00783.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-2397.2011.00783.x,10.1111/j.1468-2397.2011.00783.x,Publisher link; Couldn't analyze abstract,,,
55,"Barron, J., J. Rockström, F. Gichuki, and N. Hatibu, 2003: Dry spell analysis and maize yields for two semi-arid locations in east Africa. Agricultural and Forest Meteorology, 117(1-2), 23-37.",https://doi.org/10.1016/S0168-1923(03)00037-6,https://linkinghub.elsevier.com/retrieve/pii/S0168192303000376,10.1016/S0168-1923(03)00037-6,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
56,"Bartlett, S., 2008: Climate change and urban children: impacts and implications for adaptation in low-and middle-income countries. Environment and Urbanization, 20(2), 501-519.",https://doi.org/10.1177/0956247808096125,https://journals.sagepub.com/doi/10.1177/0956247808096125,10.1177/0956247808096125,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
57,"Bastos Lima, M.G., 2012: An Institutional Analysis of Biofuel Policies and their Social Implications: Lessons from Brazil, India and Indonesia. Occasional Paper No. 9, Social Dimensions of Green Economy and Sustainable Development, UN Research Institute for Social Development (UNRISD), Geneva, Switzerland, 13 pp.",,,,,,,
58,"Basu, R. and J.M. Samet, 2002: Relation between elevated ambient temperature and mortality: a review of the epidemiologic evidence. Epidemiologic Reviews, 24(2), 190-202.",https://doi.org/10.1093/epirev/mxf007,https://academic.oup.com/epirev/article-lookup/doi/10.1093/epirev/mxf007,10.1093/epirev/mxf007,Publisher link; Couldn't analyze abstract,,,
59,"Batterbury, S., 2001: Landscapes of diversity: a local political ecology of livelihood diversification in south-western Niger. Cultural Geographies, 8(4), 437-464.",https://doi.org/10.1177/096746080100800404,https://journals.sagepub.com/doi/10.1177/096746080100800404,10.1177/096746080100800404,Publisher link; Analyzed abstract; Exported the abstract,0,1,0
60,"Bebbington, A., 1999: Capitals and capabilities: a framework for analyzing peasant viability, rural livelihoods and poverty. World Development, 27(12), 2021-2044.",https://doi.org/10.1016/S0305-750X(99)00104-7,https://linkinghub.elsevier.com/retrieve/pii/S0305750X99001047,10.1016/S0305-750X(99)00104-7,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
61,"Bee, B., M. Biermann, and P. Tschakert, 2013: Gender, development, and rights-based approaches: lessons for climate change adaptation and adaptive social protection. In: Research, Action and Policy: Addressing the Gendered Impacts of Climate Change [Alston, M. and K. Whittenbury (eds.)]. Springer, Dordrecht, Netherlands, pp. 95-108.",https://doi.org/10.1007/978-94-007-5518-5_7,https://link.springer.com/chapter/10.1007/978-94-007-5518-5_7,10.1007/978-94-007-5518-5_7,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
62,"Behrman, J., R. Meinzen-Dick, and A. Quisumbing, 2012: The gender implications of large-scale land deals. Journal of Peasant Studies, 39(1), 49-79.",https://doi.org/10.1080/03066150.2011.652621,https://www.tandfonline.com/doi/full/10.1080/03066150.2011.652621,10.1080/03066150.2011.652621,Publisher link,,,
63,"Bele, M.Y., A.M. Tiani, O.A. Somorin, and D.J. Sonwa, 2013: Exploring vulnerability and adaptation to climate change of communities in the forest zone of Cameroon. Climatic Change, 119(3-4), 1-15.",https://doi.org/10.1007/s10584-013-0738-z,https://link.springer.com/article/10.1007/s10584-013-0738-z,10.1007/s10584-013-0738-z,Publisher link; Analyzed abstract; Exported the abstract,0,1,0
64,"Bell, J., M. Brubaker, K. Graves, and J. Berner, 2010: Climate change and mental health: uncertainty and vulnerability for Alaska natives. Center for Climate and Health (CCH) Bulletin, 3, April 15, 2010, www.anthc.org/chs/ces/climate/ upload/CCH-Bulletin-No-3-Mental-Health.PDF.",,,,,,,
65,"Béné, C., S. Devereux, and R. Sabates-Wheeler, 2012: Shocks and Social Protection in the Horn of Africa: Analysis from the Productive Safety Net Programme in Ethiopia. IDS Working Paper, Vol. 2012, No. 395, Center for Social Protection (CSP) Working Paper No. 005, Institute of Development Studies (IDS), University of Sussex, Brighton, UK, 120 pp.",https://doi.org/10.1111/j.2040-0209.2012.00395.x,https://onlinelibrary.wiley.com/doi/10.1111/j.2040-0209.2012.00395.x,10.1111/j.2040-0209.2012.00395.x,Publisher link; Couldn't analyze abstract,,,
66,"Beniston, M., 2003: Climatic change in mountain regions: a review of possible impacts. Climatic Change, 59(1), 5-31.",https://doi.org/10.1023/A:1024458411589,https://link.springer.com/article/10.1023/A:1024458411589,10.1023/A:1024458411589,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
67,"Benson, C., M. Arnold, A. de la Fuente, and R. Mearns, 2012: Financial Innovations for Social and Climate Resilience: Establishing an Evidence Base. Social Resilience & Climate Change Brief, The World Bank, Washington, DC, USA, 2 pp.",,,,,,,
68,"Bhattamishra, R. and C.B. Barrett, 2010: Community-based risk management arrangements: a review. World Development, 38(7), 923-932.",https://doi.org/10.1016/j.worlddev.2009.12.017,https://linkinghub.elsevier.com/retrieve/pii/S0305750X10000070,10.1016/j.worlddev.2009.12.017,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
69,"Bibi, S., J. Cockburn, M. Coulibaly, and L. Tiberti, 2010: The impact of the increase in food prices on child poverty and the policy response in Mali. In: Child Welfare in Developing Countries [Cockburn, J. and J. Kabubo-Mariara (eds.)]. Springer Science, Dordrecht, Netherlands and New York, NY, USA, pp. 247-296.",https://doi.org/10.1007/978-1-4419-6275-1_8,https://link.springer.com/chapter/10.1007/978-1-4419-6275-1_8,10.1007/978-1-4419-6275-1_8,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
70,"Biener, C. and M. Eling, 2012: Insurability in microinsurance markets: an analysis of problems and potential solutions. The Geneva Papers on Risk and Insurance Issues and Practice, 37(1), 77-107.",https://doi.org/10.1057/gpp.2011.29,https://link.springer.com/article/10.1057/gpp.2011.29,10.1057/gpp.2011.29,Publisher link,,,
71,"Biermann, F., 2010: Beyond the intergovernmental regime: recent trends in global carbon governance. Current Opinion in Environmental Sustainability, 2(4), 284- 288.",https://doi.org/10.1016/j.cosust.2010.05.002,https://linkinghub.elsevier.com/retrieve/pii/S1877343510000345,10.1016/j.cosust.2010.05.002,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
72,"Biermann, F., K. Abbott, S. Andresen, K. Bäckstrand, S. Bernstein, M. Betsill, H. Bulkeley,",,,,,,,
73,"Biermann, F., P. Pattberg, H. Van Asselt, and F. Zelli, 2009: The fragmentation of global governance architectures: a framework for analysis. Global Environmental Politics, 9(4), 14-40.",https://doi.org/10.1162/glep.2009.9.4.14,https://direct.mit.edu/glep/article/9/4/14-40/14757,10.1162/glep.2009.9.4.14,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
74,"Blackden, C.M. and Q. Wodon, 2006: Gender, Time Use, and Poverty in Sub-Saharan Africa. World Bank Working Paper No. 73, The International Bank for Reconstruction and Development / The World Bank, Washington, DC, USA, 152 pp.",https://doi.org/10.1037/e602512012-001,http://doi.apa.org/get-pe-doi.cfm?doi=10.1037/e602512012-001,10.1037/e602512012-001,Publisher link; Couldn't analyze abstract,,,
75,"Boetto, H. and J. McKinnon, 2013: Rural women and climate change: a gender- inclusive perspective. Australian Social Work, 66(2), 234-247.",https://doi.org/10.1080/0312407X.2013.780630,https://www.tandfonline.com/doi/full/10.1080/0312407X.2013.780630,10.1080/0312407X.2013.780630,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
76,"Böhm, S., 2009: Upsetting the Offset: The Political Economy of Carbon Markets.",,,,,,,
77,"Boko, M., I. Niang, A. Nyong, C. Vogel, A. Githeko, M. Medany, B. Osman-Elasha, R. Tabo, and P. Yanda, 2007: Africa. In: Climate Change 2007: Impacts, Adaptation and Vulnerability. Contribution of Working Group II to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change [Parry, M.L., O.F. Canziani, J.P. Palutikof, P.J. van der Linden, and C.E. Hanson (eds.)]. Cambridge University Press, Cambridge, UK and New York, NY, USA, pp. 433-467.",,,,,,,
78,"Borges da Cunha, K., A. Walter, and F. Rei, 2007: CDM implementation in Brazil's rural and isolated regions: the Amazonian case. Climatic Change, 84(1), 111- 129.",https://doi.org/10.1007/s10584-007-9272-1,https://link.springer.com/article/10.1007/s10584-007-9272-1,10.1007/s10584-007-9272-1,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
79,"Börner, J., S. Wunder, S. Wertz-Kanounnikoff, G. Hyman, and N. Nascimento, 2011: REDD Sticks and Carrots in the Brazilian Amazon: Assessing Costs and Livelihood Implications. CCAFS Working Paper No. 8, CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS), Copenhagen, Denmark, 40 pp.",,,,,,,
80,"Borras Jr., S.M., J. Franco, C. Kay, and M. Spoor, 2011b: Land Grabbing in Latin America and the Caribbean in Broader International Perspectives. A paper prepared for and presented at the Latin America and Caribbean seminar: 'Dinámicas en el mercado de la tierra en América Latina y el Caribe', 14-15 November, 2011, United Nations Food and Agriculture Organization (FAO) Regional Office, Santiago, Chile, 54 pp.",,,,,,,
81,"Borras Jr., S.M., R. Hall, I. Scoones, B. White, and W. Wolford, 2011a: Towards a better understanding of global land grabbing: an editorial introduction. The Journal of Peasant Studies, 38(2), 209-216.",https://doi.org/10.1080/03066150.2011.559005,https://www.tandfonline.com/doi/full/10.1080/03066150.2011.559005,10.1080/03066150.2011.559005,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
