,ref,doi,pub_link,doi_short,meta,indigenous,local,knowledge
32,"Alston, P., 2019: Climate change and poverty: Report of the Special Rapporteur on extreme poverty and human rights. United Nations General Assembly, Forty-first session 24 June-12 July 2019 ed., New York City, 19 pp. Available at: https://digitallibrary.un.org/record/3810720?ln=en. (accessed 22-09- 2020).",,,,,,,
33,"Altieri, M. A. and C. I. Nicholls, 2017: The adaptation and mitigation potential of traditional agriculture in a changing climate. Climatic Change, 140(1), 33-45, doi:https://doi.org/10.1007/s10584-013-0909-y.",https://doi.org/10.1007/s10584-013-0909-y,https://link.springer.com/article/10.1007/s10584-013-0909-y,10.1007/s10584-013-0909-y,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
34,"Alves, F. et al., 2020: Climate change policies and agendas: Facing implementation challenges and guiding responses. Environmental Science & Policy, 104, 190-198, doi:https://doi.org/10.1016/j.envsci.2019.12.001.",https://doi.org/10.1016/j.envsci.2019.12.001,https://linkinghub.elsevier.com/retrieve/pii/S146290111931322X,10.1016/j.envsci.2019.12.001,Publisher link; Analyzed abstract; Exported the abstract,0,1,0
35,"Amjath-Babu, T. et al., 2019: Integrated modelling of the impacts of hydropower projects on the water-food-energy nexus in a transboundary Himalayan river basin. Applied Energy, 239, 494-503, doi:https://doi.org/10.1016/j. apenergy.2019.01.147.",https://doi.org/10.1016/j.apenergy.2019.01.147,https://linkinghub.elsevier.com/retrieve/pii/S030626191930128X,10.1016/j.apenergy.2019.01.147,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
36,"Anderson, M., M. Mckee and E. Mossialos, 2020: Covid-19 exposes weaknesses in European response to outbreaks. British Medical Journal, 368, m1075, doi:https://doi.org/10.1136/bmj.m1075.",https://doi.org/10.1136/bmj.m1075,https://www.bmj.com/content/368/bmj.m1075,10.1136/bmj.m1075,Publisher link; Couldn't analyze abstract,,,
37,"Andersson, E. and E. C. H. Keskitalo, 2017: Technology use in Swedish reindeer husbandry through a social lens. Polar Geography, 40(1), 19-34, doi:10.108 0/1088937x.2016.1261195.",https://doi.org/10.1080/1088937X.2016.1261195,https://www.tandfonline.com/doi/full/10.1080/1088937X.2016.1261195,10.1080/1088937X.2016.1261195,Publisher link; Analyzed abstract; Exported the abstract,0,1,1
38,"Andrić, I., M. Koc and S. G. Al-Ghamdi, 2018: A review of climate change implications for built environment: Impacts, mitigation measures and associated challenges in developed and developing countries. Journal of Cleaner Production, 211, 83-102, doi:https://doi.org/10.1016/j. jclepro.2018.11.128.",https://doi.org/10.1016/j.jclepro.2018.11.128,https://linkinghub.elsevier.com/retrieve/pii/S0959652618335315,10.1016/j.jclepro.2018.11.128,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
39,"Andrieu, N. et al., 2017: Prioritizing investments for climate-smart agriculture: Lessons learned from Mali. Agricultural Systems, 154, 13-24, doi:https://doi. org/10.1016/j.agsy.2017.02.008.",https://doi.org/10.1016/j.agsy.2017.02.008,https://linkinghub.elsevier.com/retrieve/pii/S0308521X16307351,10.1016/j.agsy.2017.02.008,Publisher link; Analyzed abstract; Exported the abstract,0,0,1
40,"Andrijevic, M., J. Crespo Cuaresma, R. Muttarak and C. F. Schleussner, 2020: Governance in socioeconomic pathways and its role for future adaptive capacity. Nature Sustainability, 3, 35-41, doi:https://doi.org/10.1038/ s41893-019-0405-0.",https://doi.org/10.1038/s41893-019-0405-0,https://www.nature.com/articles/s41893-019-0405-0,10.1038/s41893-019-0405-0,Publisher link; Couldn't analyze abstract,,,
41,"Angelsen, A. et al., 2014: Environmental Income and Rural Livelihoods: A Global-Comparative Analysis. World Development, 64, S12-S28, doi:doi. org/10.1016/j.worlddev.2014.03.006.",https://doi.org/10.1016/j.worlddev.2014.03.006,https://linkinghub.elsevier.com/retrieve/pii/S0305750X14000722,10.1016/j.worlddev.2014.03.006,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
42,"Anjum, G. and A. Fraser, 2021: Vulnerabilities associated with slow-onset events (SoEs) of climate change: multi-level analysis in the context of Pakistan. Current Opinion in Environmental Sustainability, 50, 54-63, doi:https://doi. org/10.1016/j.cosust.2021.02.004.",https://doi.org/10.1016/j.cosust.2021.02.004,https://linkinghub.elsevier.com/retrieve/pii/S1877343521000245,10.1016/j.cosust.2021.02.004,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
43,"Ansah, E. W., E. Ankomah-Appiah, M. Amoadu and J. O. Sarfo, 2021: Climate change, health and safety of workers in developing economies: A scoping review. The Journal of Climate Change and Health, 3, doi:10.1016/j. joclim.2021.100034.",https://doi.org/10.1016/j.joclim.2021.100034,https://linkinghub.elsevier.com/retrieve/pii/S2667278221000316,10.1016/j.joclim.2021.100034,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
44,"Antwi-Agyei, P., A. J. Dougill, L. C. Stringer and S. N. A. Codjoe, 2018b: Adaptation opportunities and maladaptive outcomes in climate vulnerability hotspots of northern Ghana. Climate Risk Management, 19, 83-93, doi:https://doi. org/10.1016/j.crm.2017.11.003.",https://doi.org/10.1016/j.crm.2017.11.003,https://linkinghub.elsevier.com/retrieve/pii/S2212096317300712,10.1016/j.crm.2017.11.003,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
45,"Antwi-Agyei, P., A. J. Dougill, T. P. Agyekum and L. C. Stringer, 2018a: Alignment between nationally determined contributions and the sustainable development goals for West Africa. Climate policy, 18(10), 1296-1312, doi:https://doi.org/10.1080/14693062.2018.1431199.",https://doi.org/10.1080/14693062.2018.1431199,https://www.tandfonline.com/doi/full/10.1080/14693062.2018.1431199,10.1080/14693062.2018.1431199,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
46,"Apgar, M. et al., 2018: Learning to Engage With Inequality in the Context of Resilience-Building Programming: Experiences from Isiolo, Kenya. Institute of Development Studies (IDS), Studies, I. o. D., Brighton. Available at: https:// opendocs.ids.ac.uk/opendocs/handle/20.500.12413/14096.",,,,,,,
47,"Archie, K. M., R. Chapman and S. Flood, 2018: Climate change response in New Zealand communities: Local scale adaptation and mitigation planning. Environmental development, 28, 19-31, doi:https://doi.org/10.1016/j. envdev.2018.09.003.",https://doi.org/10.1016/j.envdev.2018.09.003,https://linkinghub.elsevier.com/retrieve/pii/S2211464517302385,10.1016/j.envdev.2018.09.003,Publisher link; Analyzed abstract; Exported the abstract,0,5,0
48,"Arts, K., 2017: Inclusive sustainable development: a human rights perspective. Current Opinion in Environmental Sustainability, 24, 58-62, doi:https://doi. org/10.1016/j.cosust.2017.02.001.",https://doi.org/10.1016/j.cosust.2017.02.001,https://linkinghub.elsevier.com/retrieve/pii/S1877343517300301,10.1016/j.cosust.2017.02.001,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
49,"Asante, W. A., E. Acheampong, E. Kyereh and B. Kyereh, 2017: Farmers' perspectives on climate change manifestations in smallholder cocoa farms and shifts in cropping systems in the forest-savannah transitional zone of Ghana. Land use policy, 66, 374-381, doi:https://doi.org/10.1016/j. landusepol.2017.05.010.",https://doi.org/10.1016/j.landusepol.2017.05.010,https://linkinghub.elsevier.com/retrieve/pii/S0264837716313230,10.1016/j.landusepol.2017.05.010,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
50,"Ashraf, J., R. Pandey, W. de Jong and B. Nagar, 2015: Factors influencing farmers' decisions to plant trees on their farms in Uttar Pradesh, India. Small-scale forestry, 14(3), 301-313, doi:https://doi.org/10.1007/s11842-015-9289-7.",https://doi.org/10.1007/s11842-015-9289-7,https://link.springer.com/article/10.1007/s11842-015-9289-7,10.1007/s11842-015-9289-7,Publisher link; Analyzed abstract; Exported the abstract,0,0,1
51,"Atteridge, A. and E. Remling, 2018: Is adaptation reducing vulnerability or redistributing it? WIRES Climate Change, 9(1), e500, doi:https://doi. org/10.1002/wcc.500.",https://doi.org/10.1002/wcc.500,https://onlinelibrary.wiley.com/doi/10.1002/wcc.500,10.1002/wcc.500,Publisher link; Couldn't analyze abstract,,,
52,"Aune, K.T., D. Gesch and G. S. Smith, 2020:A spatial analysis of climate gentrification in Orleans Parish, Louisiana post-Hurricane Katrina. Environmental research, 185, 109384, doi:https://doi.org/10.1016/j.envres.2020.109384.",https://doi.org/10.1016/j.envres.2020.109384,https://linkinghub.elsevier.com/retrieve/pii/S0013935120302772,10.1016/j.envres.2020.109384,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
53,"Australian-Government, Farming, food and drought, Australian Government. Available at: https://www.agriculture.gov.au/ag-farm-food (accessed 30-06- 2021).",,,,,,,
54,"Axelsson-Linkowski, W. et al., 2020: Shifting strategies between generations in Sami Reindeer Husbandry: The challenges of maintaining traditions while adapting to a changing context. Human Ecology, 48(4), 481-490, doi:https:// doi.org/10.1007/s10745-020-00171-3.",https://doi.org/10.1007/s10745-020-00171-3,https://link.springer.com/article/10.1007/s10745-020-00171-3,10.1007/s10745-020-00171-3,Publisher link; Analyzed abstract; Exported the abstract,1,1,2
55,"Ayal, D. Y., S. Desta and L. Robinson, 2020: Governance Dimensions of Climate Change Adaptation: The Case of Didahara, Borana, Southern Ethiopia. In: Handbook of Climate Change Resilience [Leal Filho, W. (ed.)]. Springer, Cham, pp. 2059-2074. ISBN 978-3-319-93336-8.",https://doi.org/10.1007/978-3-319-93336-8_172,https://link.springer.com/referenceworkentry/10.1007/978-3-319-93336-8_172,10.1007/978-3-319-93336-8_172,Publisher link; Analyzed abstract; Exported the abstract,1,1,0
56,"Ayeb-Karlsson, S. et al., 2016: A people-centred perspective on climate change, environmental stress, and livelihood resilience in Bangladesh. Sustainability Science, 11(4), 679-694, doi:https://doi.org/10.1007/s11625-016-0379-z.",https://doi.org/10.1007/s11625-016-0379-z,https://link.springer.com/article/10.1007/s11625-016-0379-z,10.1007/s11625-016-0379-z,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
57,"Ayeb-Karlsson, S., D. Kniveton and T. Cannon, 2020: Trapped in the prison of the mind: Notions of climate-induced (im) mobility decision-making and wellbeing from an urban informal settlement in Bangladesh. Palgrave Communications, 6(1), 1-15, doi:https://doi.org/10.1057/s41599-020-0443-2.",https://doi.org/10.1057/s41599-020-0443-2,https://www.nature.com/articles/s41599-020-0443-2,10.1057/s41599-020-0443-2,Publisher link; Couldn't analyze abstract,,,
58,"Ayers, J. M. and S. Huq, 2009: Supporting adaptation to climate change: what role for official development assistance? Development Policy Review, 27(6), 675-692, doi:https://doi.org/10.1111/j.1467-7679.2009.00465.x.",https://doi.org/10.1111/j.1467-7679.2009.00465.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-7679.2009.00465.x,10.1111/j.1467-7679.2009.00465.x,Publisher link; Couldn't analyze abstract,,,
59,"Azapagic, A. and S. Perdan, 2011: Sustainable development in practice: Case studies for engineers and scientists / editors, Adisa Azapagic and Slobodan Perdan, 2nd ed. ed., Wiley-Blackwell, Oxford. ISBN 9780470718711.",https://doi.org/10.1002/9780470972847,https://onlinelibrary.wiley.com/doi/book/10.1002/9780470972847,10.1002/9780470972847,Publisher link; Couldn't analyze abstract,,,
60,"B. Kriemann, J. Savolainen, S. Schlömer, C. von Stechow, T. Zwickel and J. C. Minx (eds.)]. Cambridge University Press, Cambridge, UK and New York, NY, USA, pp. 811-922. ISBN 9781107058217.",,,,,,,
61,"Bailey, I. and L. E. Buck, 2016: Managing for resilience: a landscape framework for food and livelihood security and ecosystem services. Food security, 8(3), 477-490, doi:https://doi.org/10.1007/s12571-016-0575-9.",https://doi.org/10.1007/s12571-016-0575-9,https://link.springer.com/article/10.1007/s12571-016-0575-9,10.1007/s12571-016-0575-9,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
62,"Bakkegaard, R. K., L. R. Møller and F. Bakhtiari, 2016: Joint Adaptation and Mitigation in Agriculture and Forestry. UNEP DTU Partnership Working Papers series; Climate Resilient Development Programme, United Nations Environmental Program Technical University of Denmark, Partnershi, U. D., Lyngby, 36 pp. Available at: https://backend.orbit.dtu. dk/ws/portalfiles/portal/157400483/Joint_adaptation_and_mitigation_ updated_09_08_16_1_.pdf. (accessed 16-06-2018).",,,,,,,
63,"Balehey, S., G. Tesfay and M. Balehegn, 2018: Traditional gender inequalities limit pastoral women's opportunities for adaptation to climate change: Evidence from the Afar pastoralists of Ethiopia. Pastoralism, 8(1), 23, doi:https://doi.org/10.1186/s13570-018-0129-1.",https://doi.org/10.1186/s13570-018-0129-1,https://pastoralismjournal.springeropen.com/articles/10.1186/s13570-018-0129-1,10.1186/s13570-018-0129-1,Publisher link; Couldn't analyze abstract,,,
64,"Balint, T. et al., 2017: Complexity and the economics of climate change: a survey and a look forward. Ecological Economics, 138, 252-265, doi:https://doi. org/10.1016/j.ecolecon.2017.03.032.",https://doi.org/10.1016/j.ecolecon.2017.03.032,https://linkinghub.elsevier.com/retrieve/pii/S092180091630828X,10.1016/j.ecolecon.2017.03.032,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
65,"Banerjee, S., R. Black, A. Mishra and D. Kniveton, 2019a: Assessing vulnerability of remittance-recipient and nonrecipient households in rural communities affected by extreme weather events: Case studies from South-West China and North-East India. Population, Space and Place, 25(2), doi:10.1002/psp.2157. Banerjee, S., A. Hussain, S. Tuladhar and A. Mishra, 2019b: Building capacities of women for climate change adaptation: Insights from migrant-sending households in Nepal. Climatic Change, 157(3), 587-609, doi:https://doi.",https://doi.org/10.1002/psp.2157,https://onlinelibrary.wiley.com/doi/10.1002/psp.2157,10.1002/psp.2157,Publisher link; Couldn't analyze abstract,,,
66,"Barange, M. et al., 2014: Impacts of climate change on marine ecosystem production in societies dependent on fisheries. Nature Climate Change, 4(3), 211-216, doi:https://doi.org/10.1038/nclimate2119.",https://doi.org/10.1038/nclimate2119,https://www.nature.com/articles/nclimate2119,10.1038/nclimate2119,Publisher link; Couldn't analyze abstract,,,
67,"Barbier, E. B. and J. P. Hochard, 2018: The impacts of climate change on the poor in disadvantaged regions. Review of Environmental Economics and Policy, 12(1), 26-47, doi:doi: 10.1093/reep/rex023.",https://doi.org/10.1093/reep/rex023,https://www.journals.uchicago.edu/doi/10.1093/reep/rex023,10.1093/reep/rex023,Publisher link; Couldn't analyze abstract,,,
68,"Barbier, E. B., 2015: Climate change impacts on rural poverty in low-elevation coastal zones. Policy Research Working Paper, The World Bank, Bank, T. W., Washington DC. Available at: https://openknowledge.worldbank.org/ handle/10986/23443.",https://doi.org/10.1596/1813-9450-7475,https://elibrary.worldbank.org/doi/abs/10.1596/1813-9450-7475,10.1596/1813-9450-7475,Publisher link; Couldn't analyze abstract,,,
69,"Barnett, J. and S. J. O'neill, 2012: Islands, resettlement and adaptation. Nature Climate Change, 2(1), 8, doi:https://doi.org/10.1038/nclimate1334.",https://doi.org/10.1038/nclimate1334,https://www.nature.com/articles/nclimate1334,10.1038/nclimate1334,Publisher link; Couldn't analyze abstract,,,
